sentence,label
You know that was you a little part Thats pretty good,1
Liz Wahl: Last night RT made international headlines when one of our anchors went on the record and said the Russian intervention in Crimea is wrong.,1
"And, indeed, as a reporter on this network, I face many ethical and moral challenges - especially me personally - coming from a family whose grandparents came here as refugees during the Hungarian revolution, ironically, to escape the Soviet forces.",0
"I have family on my opposite side, on my mothers side, that sees the daily grind of poverty, and Im very lucky to have grown up here in the United States.",0
Im the daughter of a veteran.,0
FEMALE NARRATOR: A Title: Explanations,1
DEE: When he was about eight,1
"We had always, our vacations consisted of going to grandpa and grandmas But when he was eight we were taking him to the Gulf of Mexico and to a whole brand new place that he never been before",1
"And the first afternoon he got in the car, he was hunky dory - travel, travel, travel",1
Three hours into the ride he starts getting fussy,1
Then we get out,1
We eat some dinner and he absolutely refuses to get back in the car,1
"And there is no way Im going to physically makes this little boy, who is about the size of a five-year-old, get back in that car",1
"Until I stopped and I said, I dont know whats going on man",1
"And he didnt really have a communication system to communicate with us, other than his behavior at that moment in time",1
"And I finally just looked said, Look Jake, heres what were doing",1
"And I went through and explain the best I could with what I had right there - that were going to drive, then were gonna stay in hotel, and were gonna sleep and then were going to get up and were gonna drive some more and they were going to go see new things",1
And he hopped right in that seat for me and let me buckle him in,1
"And that to me was like, oh my gosh, I really need to take time to explain everything were doing, why were doing it before we leave the house",1
My other two children just got it,1
"If I said, Hey, were gonna go do this",1
They just got it,0
But Jake didnt hear and process and see that we had bags packs in the living room for days before we got on that trip and went to you know the Gulf of Mexico,1
The other two started asking questions,0
"Hey, whats up with all the suit cases? When we would sit down at dinner we talk about, ok, first we are going to pray, then we are going to eat, then this is what we are going to do after dinner to to help him have the vision of, that there is a structure to our day, that there are things that weve gotta take care of that involve all of us",1
All those things add up to the fact that we’re not getting as much sunshine so we’re not getting as much natural vitamin D produce in our bodies so this is the good time of year to either start supplementing with vitamin D or to increase your vitamin D supplement,1
The RDA was recently increase by the US government from 400 IU to 600 IU and a lot of health experts still think that that’s pretty low,1
It’s the amount that you need to prevent a severe deficiency but it might not be enough for optimum health levels,1
And vitamin D is really really closely related with the hormone system with your body,1
"Hi, its Alex!",0
"Today I want to talk about how to respond to people who are telling you that something that you want, something you want to do or achieve is impossible.",1
"In the past, I talked about how believing that something is not possible can actually hinder your ability to make it happen.",0
"I shared a story, which you can watch in the previous video if you havent.",1
"This one, though, I want to focus on talking to other people, so say you have some sort of goal, idea, or dream, something that you want to bring into the world, and lets say youre talking to someone about it.",1
"And, youre like: Hey, like, I really want to see this happen! And the other person says: Oh, thats never going to happen. This is the kind of thing that I actually have happen a lot, because Im pretty idealistic, and Im pretty talkative and open about the goals that I have for what I want to bring into being in the world.",1
"And I frequently hear people respond to me by saying: Oh, thats never going to happen, or like, sometimes theyll be sort of sarcastic, or joke about it like: Pffsh, good luck with that. You know, sort of, blowing me off.",1
"And for years, I kind of, would just get frustrated when people would react in this way.",0
But I had this breakthrough.,0
"It was like, I think it may have even been last year, it was very recently.",0
"I was in a bakery, and I was talking to one of the employees in the bakery who I really like, and, I cant even remember what I was talking about, but I was like: Hey, like I really want to see this kind of thing happen. And the person said something like: Oh, well thats never going to happen. And I dont know what inspired me in the moment, but I called them out in a very specific way, I said: I dont agree that its not going to happen. I think its possible, and furthermore, I think that the belief that its not going to happen is part of the mentality thats holding us back from making it happen. I kind of was like: Wow, that actually came out of my mouth. But I said that, and the other person was just like, it just stopped them, and their whole face changed.",1
"I was looking into upgrading my kitchen with Corian or granite countertops, but the prices are more amazing than the countertops.",1
What is the best alternative to granite countertops?,1
"If you are willing to have a mosaic countertop, with fitted seams or pieces held together with grout and glue, you could have a granite countertop.",1
Why do you recommend that?,1
The cost of a granite countertop is proportional to the size of granite.,1
"If you can use recycled or broken granite pieces to make your counters, the price of the project goes down.",1
and seeing them change just seeing how it touches every aspect of their lives in hearing from their parents my kids says the R sound and the S sound and hes so much more confident hes talking more hes reading more hes doing more things and its like its amazing to hear and its a great feeling to have,1
Im actually a speech pathologist i graduated from baylor university with my bachelors degree from the older clinic setting and been practicing for about 15 years,1
"Had I had the opportunity to have gone on and worked at this setting and got my masters degree, it would have been an opportunity for not only me but for others to expand our knowledge",1
"If you find yourself with an upset stomach or any stomach pains, there are a few things that you can do to help relieve an upset stomach.",0
"Im Dan Carlson, Im a nurse.",1
"JOHN GERZEMA: Well, one of the things that we see in our data that consumers are looking for in their brands thats fundamentally different from last year is a strong emphasis on integrity.",1
"So a brand with integrity means that it will deliver on its promises, that it will deliver real value for the customer.",1
Now just mix the caramel with the popcorn in really well,1
"Once its all mixed in, you are going to pop it into the oven for 45 minutes and stir it every 15 minutes",1
"While thats baking in the oven, lets make our smores dip",1
"This is a super simple, but yummy treat",1
So basically all you have to do is pour in a few chocolate chips into a little pan and then all you have to do is add some marshmallows on top of that and put it in the oven,1
"So you want to make sure to preheat your oven to 450 degrees, then you can stick in your cute, little treats and let them sit in there for 7-9 minutes",1
"I think what’s happening with advertisers and kind of melding entertainment with participatory experiences is that they want consumers to not just hear about something and then remember it at a later point in time, they want them to actively participate in the message when it’s being sent.",1
"Anyone who is serious about their relationship with Jesus Christ, has to keep separate from ungodly people.",0
Most Christians are NOT doing this.,0
They associate with wicked people.,1
They have fellowship with ungodly people as if righteousness and unrighteousness could hold hands and have a party.,0
Weve got some DECA reminders for you! Its that time of the year again,1
"On Friday, October 26th, were going to be watching Muppets Most Wanted",1
Tickets are going to be just $1 and we are going on that Friday lunch and at the door,1
"Now remember, we will be selling donuts on Friday in the morning as well as Frappuchinos",1
"WRLC is going to be November 13-16th in Anaheim, California",1
"This is going to be our very first conference, and we will have tons of leadership training and fun",1
You dont want to miss that,1
"DECA members, dont forget that membership fee",1
"If youve ever had a cold, youll notice that more mucous is produced in your throat and in your nose even.",1
Why is mucous produced when you have a cold?,1
"because I was very excited and very proud of it at the time and I still of course am but when people would ask me, What do you do",1
"and I say, Im a Youtuber, and theyd say, Oh, really",1
"Id say, Charisma On Command, and theyd say, Oh, cool, and I go, Yup, it is cool",1
And that was because I wanted my success to speak for me,1
BOB FRIEDMAN: The question of advertising and how it is relevant and how its used is changing very radically.,0
Im not even so sure that the name advertising is really not today a misnomer.,0
Hey Expo,1
(umm) Have you ever seen this movie shaggy dog? (uhh) Walt Disney (uhh) its (uhh) okay this movie,1
(umm) I saw it at the movie theater at the dollar theater luckily because I wasnt very impressed by it,0
"I mean you know Tim Allen is pretty funny in it but the movie itself is so cheesy like its just its just (stutter) really cheesy and it says its going to be a ruff day, get it? Ruff day",0
(umm) Like Tim Allen turns into this shaggy dog like he literally turns into this dog,1
"He starts acting like a dog and its just like, what? What are you doing? Its just really cheesy but, kids, you know, laugh over it and think its really funny but, you know as an adult, itd probably put you to sleep so if you are looking on to stay up with your kids like, dont run it because or dont buy it because its much like dogs laugh",0
but its just kinda cheesy so Im going to just give it two out of five star rating a two so you know take that into consideration,0
Im going to do a movie review on Pirates of the Caribbean: At Worlds End,1
"(umm) This movie is currently still playing in the theaters, and (umm) I just recently watched it",1
"(umm) I waited a while for (uhh) everybody to you know, because people wanted to see it as soon as it came out",0
"I waited a while for it to die down before I went and saw it because I figured (uhh) since this is the the (stutter) the third installment you know, usually it comes into third movies, which, (umm) Ive already done reviews on some third installment movies and, and they kind of sometimes lack",0
But when it comes to Pirates of the Caribbean the second one I didnt like,1
The first one I liked a lot,1
"The second movie kind of died off for me the way they, they killed Jack Sparrow",1
"And this movie starring the same characters, (uhh) (uhh) and Johnny Depp, (umm) Orlando Bloom and (uhh) Keira Knightley I believe (umm) for the names of the actors",0
"(umm) Its a long movie, its like two and a half hours maybe almost two to forty-five minutes",0
So and it has a lot of action in the movie,0
"It (stutter) did kind of almost too much action, it, I think it numbs you after a while because its got so much going on",1
"And (umm) you know, the the (stutter) kind of back and forth plot goes here, it goes there goes all over the place, theres a lot of things going on so if youre not paying attention youre gonna kind of, kind of get lost in it",0
And so,0
"But the, (stutter) but you know they did pretty good on the graphics",0
(umm) The CG is great,0
"And (umm) the storys, you know, it, it keeps you out, oh I kind of wish they would of, of (stutter) maybe split this movie up or shortened it or something",0
"Because this its just, its (stutter) almost just too much",1
"They try to cram everything all in at once and it, it just didnt it just didnt (stutter) cut it for me",0
"(umm) Theres some parts I liked, some parts I didnt, so if I was to grade it Id probably give it a C plus",1
(umm) I know the critics didnt give it a very good grade,0
But you know,1
"Hi, My name is Nalin and I will be reviewing for you Stephen Kings IT",1
So Ill take a closer look,1
So this is a movie about the (uhh) a clown basically as you can see on the DVD cover right here and (umm) this clown is (uhh) out to get children and (uhh) that that (stutter) is the basic plot of this movie and this movie starts out,1
"Im not even sure whether this is a movie or what but (uhh) this movie starts out in a town, in a small town and (uhh) it shows this clown thats been (uhh) really wicked clown and (umm) he takes under from farms and seven kids get together in (stutter) their childhood and (umm) then they want to reunite because this clown is bad",1
"So the basic thing about (uhh) naming this thing IT, the movie, is that the clown, they named the clown as IT",1
"Ill be reviewing (uhh) the movie Spider-Man Three which is currently in the theaters, which is the third and looked like the final, you know, these the Spider-Man trilogy but there might be more made with different actors or even a different director, its hard to say",1
"And you know I was pretty, I was looking forward to this movie you know quite a bit",1
"(umm) You know I was a big fan of the first so that they were done pretty well, you know, with Sam Raimi directing its pretty much, you know, the perfect choice, you know, for the, for the (stutter) movies in that, you know, he didnt take them too seriously, you know he knew how to joke around with the makeup, kind of, you know, goofy and kind of like booky and that kind of thing and it really worked for the (uhh) first two",0
"I mean they always had good villains with like Alfred Molina playing (umm) Doctor Octopus and, you know, (umm) that kind of thing",0
(umm) But for some reason the third one really fell apart,0
"(uhh) They had too many villains and it was just really hokey and it felt like they were just trying to do way, I mean, really it felt like it was two movies they tried to cram into one and (uhh) they didnt give enough time to relay anything",0
"(uhh) I mean Peter Parkers character, you know, was (uhh) even, you know, when controlled by the symbiote (umm) its just (uhh) its just kind of a big mess",1
I just really left the theater feeling just kind of (uhh),1
"And the more and more I thought about it, the more and more I just really hated the movie",0
"Its just, its a bad movie (uhh), you know? With bad characterizations",0
"The acting surprisingly enough was actually worse than the first two which is really saying something, you know, its probably the definitely the weakest point of the first two movies",0
"And (umm) its just a big puddle of, you know, mess",0
"Even the action sequences arent as good as (uhh) the first and the second one so I gotta say it purp (stutter), I will, dont know if I say it ruined the trilogy",0
"Well, it ruined the trilogy, I dont know if it ruined the first two movies for me",0
"Hi, I am doing my video premium for Wolfs Rain - Recollections",1
This is the fourth DVD in the series im xxx but completely unnecessary,0
It contains four episodes and each episode is it focuses on one of the four main characters retelling whats happen so far in the story from their perspectives,1
"The (uhh) video, the animation in the episode most of like most like (stutter) almost all if not all is rehashed in this animation is just (uhh) taken out from the previous episodes so they didnt even make the original animations because they are retelling the story thats already happened so they are just reusing all that animation",0
The audio is new but it doesnt tell you very much,0
Its just (uhh) pretty obvious stuff you know,1
Theyre basically saying this happened and this happened,0
It seems like they made this DVD just to fill a gap (uhh) during the time where they couldnt make new episodes I guess I dont know but its (uhh) pretty upsetting but this DVD costs the same price as all the other DVDs in this series when it has nothing new,0
"So, if youre a die hard fan and you wanna xxx and if you just want to watch everything in Wolfs Rain Wolfs Rain (stutter) (uhh) then you can get it but I wouldnt recommend it",0
Its (uhh) you know just get three then go on to five,1
"Hi, Summer Banks here and today Im reviewing for you, the DVD Vanilla Sky with Tom Cruise",1
Tom Cruise is in this movie with Penelope Cruz and Cameron Diaz,1
The movies is rated R for sexuality and strong language and is brought to you by Paramount pictures,0
Now I have to let you know Im giving this movie two stars,1
The only reason Im giving it two stars is because Ive watched it approximately five times and I still have absolutely zero idea what really happened,0
This is a thriller,0
"There are events that take place that you dont know if theyre real, if theyre not real",0
There are finales that arent really finales,1
There are beginnings and events that arent really there,0
Theres some that are there that you dont see til later on,0
I I (stutter) cannot explain this movie in any way shape or form because I simply did not understand it,1
"Now as for the shooting and the acting, it was fantastic",1
